um	n	k
0.250505	1.396272	0.000000	
0.253061	1.394556	0.000000	
0.255670	1.392870	0.000000	
0.258333	1.391213	0.000000	
0.261053	1.389585	0.000000	
0.263830	1.387984	0.000000	
0.266667	1.386411	0.000000	
0.269565	1.384865	0.000000	
0.272527	1.383345	0.000000	
0.275556	1.381851	0.000000	
0.278652	1.380383	0.000000	
0.281818	1.378941	0.000000	
0.285057	1.377522	0.000000	
0.288372	1.376129	0.000000	
0.291765	1.374759	0.000000	
0.295238	1.373413	0.000000	
0.298795	1.372090	0.000000	
0.302439	1.370790	0.000000	
0.306173	1.369512	0.000000	
0.310000	1.368256	0.000000	
0.313924	1.367022	0.000000	
0.317949	1.365809	0.000000	
0.322078	1.364618	0.000000	
0.326316	1.363447	0.000000	
0.330667	1.362296	0.000000	
0.335135	1.361166	0.000000	
0.339726	1.360055	0.000000	
0.344444	1.358963	0.000000	
0.349296	1.357891	0.000000	
0.354286	1.356837	0.000000	
0.359420	1.355802	0.000000	
0.364706	1.354785	0.000000	
0.370149	1.353786	0.000000	
0.375758	1.352805	0.000000	
0.381538	1.351840	0.000000	
0.387500	1.350893	0.000000	
0.393651	1.349962	0.000000	
0.400000	1.349048	0.000000	
0.406557	1.348150	0.000000	
0.413333	1.347267	0.000000	
0.420339	1.346400	0.000000	
0.427586	1.345548	0.000000	
0.435088	1.344711	0.000000	
0.442857	1.343888	0.000000	
0.450909	1.343080	0.000000	
0.459259	1.342285	0.000000	
0.467925	1.341503	0.000000	
0.476923	1.340735	0.000000	
0.486275	1.339979	0.000000	
0.496000	1.339235	0.000000	
0.506122	1.338503	0.000000	
0.516667	1.337783	0.000000	
0.527660	1.337073	0.000000	
0.539130	1.336373	0.000000	
0.551111	1.335683	0.000000	
0.563636	1.335002	0.000000	
0.576744	1.334329	0.000000	
0.590476	1.333664	0.000000	
0.604878	1.333006	0.000000	
0.620000	1.332353	0.000000	
0.635897	1.331706	0.000000	
0.652632	1.331062	0.000000	
0.670270	1.330420	0.000000	
0.688889	1.329779	0.000000	
0.708571	1.329138	0.000000	
0.729412	1.328495	0.000000	
0.751515	1.327846	0.000000	
0.775000	1.327191	0.000000	
0.800000	1.326526	0.000000	
0.826667	1.325848	0.000000	
0.855172	1.325153	0.000000	
0.885714	1.324436	0.000000	
0.918518	1.323693	0.000000	
0.953846	1.322917	0.000000	
