Opt. Const. of SiO2_JAW vs. µm
um	n	k
0.250000	1.513525	0.000000	
0.255000	1.510877	0.000000	
0.260000	1.508413	0.000000	
0.265000	1.506117	0.000000	
0.270000	1.503972	0.000000	
0.275000	1.501967	0.000000	
0.280000	1.500087	0.000000	
0.285000	1.498323	0.000000	
0.290000	1.496665	0.000000	
0.295000	1.495103	0.000000	
0.300000	1.493631	0.000000	
0.305000	1.492241	0.000000	
0.310000	1.490927	0.000000	
0.315000	1.489684	0.000000	
0.320000	1.488506	0.000000	
0.325000	1.487388	0.000000	
0.330000	1.486327	0.000000	
0.335000	1.485319	0.000000	
0.340000	1.484359	0.000000	
0.345000	1.483444	0.000000	
0.350000	1.482572	0.000000	
0.355000	1.481741	0.000000	
0.360000	1.480947	0.000000	
0.365000	1.480187	0.000000	
0.370000	1.479461	0.000000	
0.375000	1.478766	0.000000	
0.380000	1.478099	0.000000	
0.385000	1.477461	0.000000	
0.390000	1.476848	0.000000	
0.395000	1.476259	0.000000	
0.400000	1.475694	0.000000	
0.405000	1.475150	0.000000	
0.410000	1.474628	0.000000	
0.415000	1.474124	0.000000	
0.420000	1.473639	0.000000	
0.425000	1.473173	0.000000	
0.430000	1.472721	0.000000	
0.435000	1.472287	0.000000	
0.440000	1.471867	0.000000	
0.445000	1.471462	0.000000	
0.450000	1.471069	0.000000	
0.455000	1.470691	0.000000	
0.460000	1.470324	0.000000	
0.465000	1.469968	0.000000	
0.470000	1.469625	0.000000	
0.475000	1.469291	0.000000	
0.480000	1.468969	0.000000	
0.485000	1.468655	0.000000	
0.490000	1.468352	0.000000	
0.495000	1.468057	0.000000	
0.500000	1.467771	0.000000	
0.505000	1.467493	0.000000	
0.510000	1.467222	0.000000	
0.515000	1.466959	0.000000	
0.520000	1.466704	0.000000	
0.525000	1.466455	0.000000	
0.530000	1.466212	0.000000	
0.535000	1.465976	0.000000	
0.540000	1.465747	0.000000	
0.545000	1.465523	0.000000	
0.550000	1.465304	0.000000	
0.555000	1.465091	0.000000	
0.560000	1.464883	0.000000	
0.565000	1.464680	0.000000	
0.570000	1.464482	0.000000	
0.575000	1.464288	0.000000	
0.580000	1.464099	0.000000	
0.585000	1.463914	0.000000	
0.590000	1.463733	0.000000	
0.595000	1.463556	0.000000	
0.600000	1.463383	0.000000	
0.605000	1.463214	0.000000	
0.610000	1.463048	0.000000	
0.615000	1.462885	0.000000	
0.620000	1.462727	0.000000	
0.625000	1.462571	0.000000	
0.630000	1.462418	0.000000	
0.635000	1.462268	0.000000	
0.640000	1.462121	0.000000	
0.645000	1.461977	0.000000	
0.650000	1.461835	0.000000	
0.655000	1.461696	0.000000	
0.660000	1.461560	0.000000	
0.665000	1.461425	0.000000	
0.670000	1.461294	0.000000	
0.675000	1.461164	0.000000	
0.680000	1.461037	0.000000	
0.685000	1.460912	0.000000	
0.690000	1.460789	0.000000	
0.695000	1.460667	0.000000	
0.700000	1.460547	0.000000	
0.705000	1.460430	0.000000	
0.710000	1.460314	0.000000	
0.715000	1.460201	0.000000	
0.720000	1.460089	0.000000	
0.725000	1.459977	0.000000	
0.730000	1.459868	0.000000	
0.735000	1.459761	0.000000	
0.740000	1.459655	0.000000	
0.745000	1.459550	0.000000	
0.750000	1.459447	0.000000	
0.755000	1.459345	0.000000	
0.760000	1.459245	0.000000	
0.765000	1.459145	0.000000	
0.770000	1.459047	0.000000	
0.775000	1.458950	0.000000	
0.780000	1.458854	0.000000	
0.785000	1.458759	0.000000	
0.790000	1.458665	0.000000	
0.795000	1.458574	0.000000	
0.800000	1.458482	0.000000	
0.805000	1.458391	0.000000	
0.810000	1.458301	0.000000	
0.815000	1.458213	0.000000	
0.820000	1.458125	0.000000	
0.825000	1.458038	0.000000	
0.830000	1.457952	0.000000	
0.835000	1.457867	0.000000	
0.840000	1.457783	0.000000	
0.845000	1.457699	0.000000	
0.850000	1.457616	0.000000	
0.855000	1.457534	0.000000	
0.860000	1.457452	0.000000	
0.865000	1.457371	0.000000	
0.870000	1.457291	0.000000	
0.875000	1.457212	0.000000	
0.880000	1.457133	0.000000	
0.885000	1.457054	0.000000	
0.890000	1.456977	0.000000	
0.895000	1.456900	0.000000	
0.900000	1.456823	0.000000	
0.905000	1.456748	0.000000	
0.910000	1.456672	0.000000	
0.915000	1.456597	0.000000	
0.920000	1.456522	0.000000	
0.925000	1.456448	0.000000	
0.930000	1.456375	0.000000	
0.935000	1.456302	0.000000	
0.940000	1.456229	0.000000	
0.945000	1.456157	0.000000	
0.950000	1.456085	0.000000	
0.955000	1.456014	0.000000	
0.960000	1.455943	0.000000	
0.965000	1.455872	0.000000	
0.970000	1.455801	0.000000	
0.975000	1.455731	0.000000	
0.980000	1.455662	0.000000	
0.985000	1.455593	0.000000	
0.990000	1.455524	0.000000	
0.995000	1.455455	0.000000	
1.000000	1.455386	0.000000	
