Wavelength	Psi	Delta
0.250000	20.343222	132.578445	
0.255000	20.099310	134.538864	
0.260000	19.837381	136.506622	
0.265000	19.538013	138.053848	
0.270000	19.139990	138.987350	
0.275000	18.646523	140.311951	
0.280000	18.030144	140.887161	
0.285000	17.360582	140.284897	
0.290000	16.635387	138.674835	
0.295000	15.976272	135.787949	
0.300000	15.618537	129.886642	
0.305000	16.068823	122.026855	
0.310000	18.229345	114.268829	
0.315000	21.750441	111.366821	
0.320000	25.709345	113.524986	
0.325000	28.961277	118.685349	
0.330000	31.605825	124.568871	
0.335000	33.527657	130.276245	
0.340000	35.179390	135.995422	
0.345000	36.391872	141.694489	
0.350000	37.434277	147.453278	
0.355000	38.183182	153.069504	
0.360000	38.671310	158.702118	
0.365000	38.949795	164.743576	
0.370000	38.646572	170.125992	
0.375000	38.159790	174.986069	
0.380000	37.541874	179.221588	
0.385000	36.971489	183.083496	
0.390000	36.295334	186.614914	
0.395000	35.774162	189.572281	
0.400000	35.212639	192.728119	
0.405000	34.751492	195.500671	
0.410000	34.387032	198.264984	
0.415000	33.894611	200.794327	
0.420000	33.409077	203.379761	
0.425000	33.051445	205.891220	
0.430000	32.600361	208.346420	
0.435000	32.157791	210.582291	
0.440000	31.791391	212.951096	
0.445000	31.418234	215.126541	
0.450000	31.001369	217.359070	
0.455000	30.647717	219.407944	
0.460000	30.314468	221.543777	
0.465000	30.017420	223.335007	
0.470000	29.625999	225.498718	
0.475000	29.313004	227.452454	
0.480000	29.011627	229.324936	
0.485000	28.687010	231.001907	
0.490000	28.389009	232.944946	
0.495000	28.089281	234.594147	
0.500000	27.916092	236.358246	
0.505000	27.656559	238.034241	
0.510000	27.358204	239.640686	
0.515000	27.216084	241.437744	
0.520000	26.937183	243.043030	
0.525000	26.767399	244.693710	
0.530000	26.620691	246.248688	
0.535000	26.471945	247.916107	
0.540000	26.360363	249.341507	
0.545000	26.289953	250.779175	
0.550000	26.131294	252.458740	
0.555000	26.064981	253.926422	
0.560000	26.045431	255.518097	
0.565000	26.014055	256.996429	
0.570000	25.966475	258.576447	
0.575000	26.018171	259.931396	
0.580000	25.995623	261.256470	
0.585000	26.049381	262.952759	
0.590000	26.110718	264.509613	
0.595000	26.220001	265.857361	
0.600000	26.365440	267.561096	
0.605000	26.486750	269.005951	
0.610000	26.608168	-89.436195	
0.615000	26.807016	-87.875740	
0.620000	27.096081	-86.262085	
0.625000	27.297924	-84.696175	
0.630000	27.572123	-83.204994	
0.635000	27.888298	-81.477158	
0.640000	28.190973	-79.857681	
0.645000	28.517134	-78.191719	
0.650000	28.905497	-76.269066	
0.655000	29.358347	-74.503067	
0.660000	29.798784	-72.696854	
0.665000	30.297758	-70.823967	
0.670000	30.818928	-68.830620	
0.675000	31.294523	-66.846954	
0.680000	31.912872	-64.610863	
0.685000	32.494968	-62.667244	
0.690000	33.104576	-60.298981	
0.695000	33.795773	-58.237770	
0.700000	34.478649	-55.709457	
0.705000	35.155659	-53.245464	
0.710000	35.901859	-50.686714	
0.715000	36.584793	-47.927494	
0.720000	37.302757	-45.256439	
0.725000	37.972717	-42.322628	
0.730000	38.664238	-39.188423	
0.735000	39.388279	-36.085537	
0.740000	40.116734	-32.901432	
0.745000	40.804546	-29.480242	
0.750000	41.403507	-26.067162	
0.755000	41.984547	-22.419172	
0.760000	42.428162	-18.864138	
0.765000	42.957493	-14.990761	
0.770000	43.292213	-11.151984	
0.775000	43.607044	-7.365136	
0.780000	43.809971	-3.515100	
0.785000	44.010162	0.346313	
0.790000	44.031040	4.266019	
0.795000	43.963394	8.033167	
0.800000	43.864017	11.879354	
0.805000	43.660099	15.524787	
0.810000	43.483139	19.202627	
0.815000	43.113617	22.655464	
0.820000	42.770187	26.058666	
0.825000	42.338871	29.283552	
0.830000	41.912346	32.361649	
0.835000	41.434711	35.442387	
0.840000	40.899303	38.352795	
0.845000	40.427521	41.102459	
0.850000	39.870968	43.717812	
0.855000	39.323608	46.371120	
0.860000	38.754185	48.750877	
0.865000	38.274368	51.058395	
0.870000	37.717438	53.258110	
0.875000	37.197929	55.363869	
0.880000	36.647739	57.404263	
0.885000	36.157661	59.241165	
0.890000	35.628506	61.069756	
0.895000	35.071236	62.769321	
0.900000	34.713638	64.669777	
0.905000	34.236664	66.160172	
0.910000	33.715660	67.739563	
0.915000	33.342590	69.225800	
0.920000	32.892986	70.719078	
0.925000	32.488953	72.056511	
0.930000	32.062534	73.383057	
0.935000	31.720909	74.618790	
0.940000	31.354992	75.823288	
0.945000	31.036901	77.173645	
0.950000	30.687584	78.324791	
0.955000	30.325020	79.448509	
0.960000	30.030603	80.487030	
0.965000	29.723352	81.541489	
0.970000	29.440090	82.424973	
0.975000	29.118420	83.624588	
0.980000	28.906963	84.348587	
0.985000	28.656340	85.409065	
0.990000	28.412546	86.300980	
0.995000	28.139227	87.138687	
1.000000	27.937416	88.178101	
