Wavelength	Psi	Delta
0.250000	47.638897	207.949005	
0.255000	48.485065	202.943573	
0.260000	49.256603	197.032501	
0.265000	49.837082	190.267899	
0.270000	50.195648	182.787872	
0.275000	50.544109	174.688614	
0.280000	50.813244	166.763992	
0.285000	50.877697	159.427383	
0.290000	50.953785	152.317230	
0.295000	51.104565	146.418045	
0.300000	50.962326	141.526306	
0.305000	50.639477	137.674026	
0.310000	50.085743	134.254486	
0.315000	49.461197	131.462402	
0.320000	48.772449	128.969711	
0.325000	47.979111	127.145836	
0.330000	47.284668	125.456993	
0.335000	46.588272	124.023407	
0.340000	45.940945	122.785583	
0.345000	45.277351	121.825951	
0.350000	44.649250	121.268768	
0.355000	44.119667	120.886101	
0.360000	43.558876	120.797882	
0.365000	42.891350	120.917992	
0.370000	42.118107	121.144600	
0.375000	41.314751	121.287674	
0.380000	40.461304	121.346474	
0.385000	39.795841	121.232109	
0.390000	39.105553	121.049324	
0.395000	38.472767	120.993797	
0.400000	37.874760	120.953300	
0.405000	37.395596	120.960732	
0.410000	36.937546	121.102531	
0.415000	36.473083	121.128288	
0.420000	35.999603	121.228661	
0.425000	35.548882	121.409065	
0.430000	35.169838	121.469498	
0.435000	34.873844	121.753838	
0.440000	34.435799	121.920387	
0.445000	34.113800	122.101952	
0.450000	33.780582	122.495209	
0.455000	33.420792	122.629913	
0.460000	33.133602	123.081184	
0.465000	32.824024	123.162735	
0.470000	32.515644	123.470818	
0.475000	32.248589	123.714951	
0.480000	31.957693	123.932114	
0.485000	31.750231	124.198196	
0.490000	31.443142	124.596169	
0.495000	31.274426	124.715912	
0.500000	30.977961	125.052528	
0.505000	30.782658	125.382637	
0.510000	30.573063	125.648972	
0.515000	30.348186	125.814529	
0.520000	30.181887	126.259399	
0.525000	29.992620	126.655540	
0.530000	29.847885	126.951393	
0.535000	29.616266	127.112778	
0.540000	29.475708	127.533020	
0.545000	29.312397	127.703880	
0.550000	29.095852	128.090668	
0.555000	28.950657	128.322098	
0.560000	28.814100	128.601059	
0.565000	28.600859	129.020004	
0.570000	28.553841	129.219391	
0.575000	28.401121	129.547592	
0.580000	28.249117	129.810776	
0.585000	28.092752	130.054352	
0.590000	27.995022	130.425125	
0.595000	27.813913	130.757660	
0.600000	27.751127	130.959961	
0.605000	27.628384	131.266327	
0.610000	27.486401	131.675095	
0.615000	27.326385	131.890945	
0.620000	27.316607	132.100677	
0.625000	27.181759	132.432861	
0.630000	27.050625	132.517120	
0.635000	26.941313	133.066620	
0.640000	26.813625	133.235687	
0.645000	26.732048	133.661667	
0.650000	26.647993	133.730804	
0.655000	26.537907	134.100571	
0.660000	26.470812	134.308746	
0.665000	26.340221	134.596298	
0.670000	26.280661	134.817093	
0.675000	26.199631	135.215759	
0.680000	26.104368	135.288254	
0.685000	26.002853	135.706787	
0.690000	25.939598	135.717300	
0.695000	25.875368	136.013290	
0.700000	25.804081	136.241165	
0.705000	25.744184	136.603027	
0.710000	25.631306	136.867706	
0.715000	25.631628	137.113037	
0.720000	25.516735	137.308594	
0.725000	25.514210	137.434479	
0.730000	25.372374	137.749802	
0.735000	25.300175	137.955872	
0.740000	25.233805	138.182755	
0.745000	25.199923	138.421768	
0.750000	25.108213	138.608505	
0.755000	25.069613	138.868500	
0.760000	25.005245	139.289490	
0.765000	24.994459	139.378754	
0.770000	24.921911	139.556961	
0.775000	24.924417	139.676331	
0.780000	24.772177	139.989059	
0.785000	24.716099	140.276047	
0.790000	24.710241	140.418884	
0.795000	24.608719	140.604568	
0.800000	24.625046	140.791016	
0.805000	24.487429	141.084366	
0.810000	24.486156	141.105118	
0.815000	24.438173	141.475052	
0.820000	24.386494	141.622437	
0.825000	24.340740	141.849854	
0.830000	24.321625	141.873627	
0.835000	24.242483	142.357452	
0.840000	24.222633	142.528244	
0.845000	24.186136	142.584686	
0.850000	24.165241	142.827576	
0.855000	24.145826	142.960922	
0.860000	24.062443	143.100189	
0.865000	24.010765	143.372879	
0.870000	23.967554	143.474487	
0.875000	23.920578	143.869400	
0.880000	23.909765	143.777618	
0.885000	23.905615	144.087845	
0.890000	23.773216	144.251801	
0.895000	23.787643	144.295822	
0.900000	23.747860	144.634918	
0.905000	23.751442	144.914673	
0.910000	23.603611	145.013031	
0.915000	23.651258	145.000732	
0.920000	23.637735	145.148834	
0.925000	23.584776	145.375275	
0.930000	23.556805	145.646057	
0.935000	23.515068	145.665375	
0.940000	23.492971	146.035416	
0.945000	23.431042	146.104004	
0.950000	23.457735	146.315445	
0.955000	23.349049	146.241638	
0.960000	23.354357	146.568954	
0.965000	23.385204	146.735916	
0.970000	23.303699	146.872467	
0.975000	23.282570	147.064102	
0.980000	23.210943	147.138138	
0.985000	23.237051	147.315887	
0.990000	23.244204	147.566055	
0.995000	23.184164	147.629013	
1.000000	23.142813	147.768204	
