Opt. Const. of Si_JAW vs. eV
eV	e1	e2
4.960000	-10.647780	12.186640	
4.862745	-11.955365	13.009671	
4.769231	-13.629112	14.336851	
4.679246	-15.588576	16.423994	
4.592593	-17.702778	19.582952	
4.509091	-19.598019	24.570438	
4.428571	-19.320459	31.334925	
4.350877	-16.985279	38.954433	
4.275862	-8.967725	46.499332	
4.203390	1.632806	46.886841	
4.133333	8.107720	43.135666	
4.065574	11.286489	39.598534	
4.000000	13.077370	37.064560	
3.936508	14.349782	35.303467	
3.875000	15.436008	34.044880	
3.815385	16.452362	33.118435	
3.757576	17.436295	32.437637	
3.701493	18.407808	31.983534	
3.647059	19.405159	31.787066	
3.594203	20.506105	31.914404	
3.542857	21.848810	32.492340	
3.492958	23.827534	33.820011	
3.444444	27.899101	35.947960	
3.397260	35.954048	35.935051	
3.351351	44.015694	29.212887	
3.306667	45.896797	19.475197	
3.263158	43.412411	12.208101	
3.220779	39.853313	7.842869	
3.179487	36.530453	5.386147	
3.139241	33.792969	4.020735	
3.100000	31.634529	3.219328	
3.061728	29.931524	2.684496	
3.024390	28.540478	2.273173	
2.987952	27.360544	1.933832	
2.952381	26.334103	1.649457	
2.917647	25.425385	1.410781	
2.883721	24.612558	1.211061	
2.850575	23.879150	1.044011	
2.818182	23.215282	0.905239	
2.786517	22.611027	0.789970	
2.755556	22.059063	0.694409	
2.725275	21.553562	0.615378	
2.695652	21.089556	0.550123	
2.666667	20.662638	0.496275	
2.638298	20.268955	0.451806	
2.610526	19.905283	0.415043	
2.583333	19.569147	0.384637	
2.556701	19.257143	0.359202	
2.530612	18.966965	0.337763	
2.505050	18.697298	0.319602	
2.480000	18.445150	0.303864	
2.455446	18.210098	0.290155	
2.431373	17.989479	0.277897	
2.407767	17.782604	0.266810	
2.384615	17.588036	0.256605	
2.361905	17.404472	0.247070	
2.339623	17.231096	0.238071	
2.317757	17.067265	0.229519	
2.296296	16.911884	0.221330	
2.275229	16.764296	0.213463	
2.254545	16.623936	0.205891	
2.234234	16.490318	0.198594	
2.214286	16.362946	0.191558	
2.194690	16.241364	0.184771	
2.175439	16.125168	0.178223	
2.156522	16.013979	0.171903	
2.137931	15.907470	0.165803	
2.119658	15.805315	0.159912	
2.101695	15.707449	0.154233	
2.084033	15.613445	0.148748	
2.066667	15.523026	0.143449	
2.049587	15.435951	0.138327	
2.032787	15.352327	0.133390	
2.016260	15.271702	0.128617	
2.000000	15.193840	0.123998	
1.984000	15.118979	0.119550	
1.968254	15.046556	0.115242	
1.952756	14.976692	0.111084	
1.937500	14.909147	0.107063	
1.922481	14.843843	0.103178	
1.907692	14.780668	0.099423	
1.893130	14.719553	0.095795	
1.878788	14.660293	0.092283	
1.864662	14.603005	0.088896	
1.850746	14.547337	0.085613	
1.837037	14.493505	0.082448	
1.823529	14.441236	0.079384	
1.810219	14.390417	0.076416	
1.797101	14.341249	0.073558	
1.784173	14.293439	0.070790	
1.771429	14.246919	0.068109	
1.758865	14.201757	0.065520	
1.746479	14.157903	0.063021	
1.734266	14.115207	0.060602	
1.722222	14.073640	0.058261	
1.710345	14.033158	0.055995	
1.698630	13.993830	0.053811	
1.687075	13.955543	0.051699	
1.675676	13.918225	0.049657	
1.664430	13.881853	0.047681	
1.653333	13.846390	0.045771	
1.642384	13.811808	0.043924	
1.631579	13.778090	0.042139	
1.620915	13.745184	0.040414	
1.610390	13.713093	0.038747	
1.600000	13.681770	0.037136	
1.589744	13.651218	0.035581	
1.579618	13.621372	0.034079	
1.569620	13.592231	0.032627	
1.559748	13.563757	0.031225	
1.550000	13.535930	0.029871	
1.540373	13.508759	0.028565	
1.530864	13.482198	0.027304	
1.521472	13.456231	0.026087	
1.512195	13.430840	0.024912	
1.503030	13.406002	0.023778	
1.493976	13.381704	0.022685	
1.485030	13.357924	0.021629	
1.476190	13.334642	0.020611	
1.467456	13.311847	0.019628	
1.458824	13.289515	0.018680	
1.450292	13.267653	0.017767	
1.441860	13.246309	0.016892	
1.433526	13.225387	0.016048	
1.425287	13.204871	0.015235	
1.417143	13.184750	0.014450	
1.409091	13.165009	0.013694	
1.401130	13.145707	0.012969	
1.393258	13.126822	0.012275	
1.385475	13.108274	0.011606	
1.377778	13.090055	0.010961	
1.370166	13.072172	0.010341	
1.362637	13.054724	0.009752	
1.355191	13.037576	0.009185	
1.347826	13.020714	0.008639	
1.340541	13.004156	0.008115	
1.333333	12.987997	0.007619	
1.326203	12.972091	0.007142	
1.319149	12.956426	0.006682	
1.312169	12.941128	0.006247	
1.305263	12.926098	0.005833	
1.298429	12.911283	0.005434	
1.291667	12.896778	0.005056	
1.284974	12.882556	0.004698	
1.278350	12.868524	0.004354	
1.271795	12.854778	0.004029	
1.265306	12.841301	0.003723	
1.258883	12.827988	0.003429	
1.252525	12.814975	0.003155	
1.246231	12.802176	0.002896	
1.240000	12.789520	0.002646	
