um	n	k
0.250000	1.663613	3.662702	
0.255000	1.690165	3.848639	
0.260000	1.753873	4.087197	
0.265000	1.878222	4.372219	
0.270000	2.085151	4.695810	
0.275000	2.432189	5.051095	
0.280000	2.957364	5.297779	
0.285000	3.571496	5.453518	
0.290000	4.381122	5.306784	
0.295000	4.926868	4.758280	
0.300000	5.098958	4.229852	
0.305000	5.121624	3.865818	
0.310000	5.117680	3.621227	
0.315000	5.121435	3.446638	
0.320000	5.138911	3.312461	
0.325000	5.168764	3.203710	
0.330000	5.208803	3.113733	
0.335000	5.258816	3.040944	
0.340000	5.321997	2.986385	
0.345000	5.405583	2.951986	
0.350000	5.522858	2.941624	
0.355000	5.709569	2.961696	
0.360000	6.058181	2.966894	
0.365000	6.587386	2.727565	
0.370000	6.958573	2.099057	
0.375000	6.919342	1.407301	
0.380000	6.652394	0.917572	
0.385000	6.343146	0.618216	
0.390000	6.060357	0.444375	
0.395000	5.823414	0.345221	
0.400000	5.631716	0.285821	
0.405000	5.476459	0.245094	
0.410000	5.346557	0.212583	
0.415000	5.233992	0.184738	
0.420000	5.134190	0.160635	
0.425000	5.044298	0.139839	
0.430000	4.962605	0.122019	
0.435000	4.887797	0.106798	
0.440000	4.819139	0.093921	
0.445000	4.755830	0.083053	
0.450000	4.697289	0.073916	
0.455000	4.643054	0.066269	
0.460000	4.592727	0.059891	
0.465000	4.545945	0.054584	
0.470000	4.502385	0.050174	
0.475000	4.461776	0.046511	
0.480000	4.423916	0.043472	
0.485000	4.388487	0.040925	
0.490000	4.355280	0.038776	
0.495000	4.324195	0.036955	
0.500000	4.294928	0.035375	
0.505000	4.267465	0.033996	
0.510000	4.241527	0.032759	
0.515000	4.217061	0.031635	
0.520000	4.193921	0.030593	
0.525000	4.171972	0.029611	
0.530000	4.151134	0.028675	
0.535000	4.131348	0.027778	
0.540000	4.112494	0.026909	
0.545000	4.094506	0.026067	
0.550000	4.077324	0.025248	
0.555000	4.060901	0.024452	
0.560000	4.045183	0.023677	
0.565000	4.030123	0.022924	
0.570000	4.015677	0.022191	
0.575000	4.001804	0.021478	
0.580000	3.988471	0.020785	
0.585000	3.975641	0.020111	
0.590000	3.963310	0.019458	
0.595000	3.951430	0.018822	
0.600000	3.939969	0.018204	
0.605000	3.928901	0.017604	
0.610000	3.918242	0.017022	
0.615000	3.907937	0.016456	
0.620000	3.897960	0.015905	
0.625000	3.888344	0.015373	
0.630000	3.879018	0.014855	
0.635000	3.870000	0.014352	
0.640000	3.861261	0.013864	
0.645000	3.852794	0.013390	
0.650000	3.844585	0.012930	
0.655000	3.836627	0.012484	
0.660000	3.828895	0.012051	
0.665000	3.821406	0.011631	
0.670000	3.814114	0.011223	
0.675000	3.807049	0.010828	
0.680000	3.800177	0.010445	
0.685000	3.793484	0.010072	
0.690000	3.786997	0.009712	
0.695000	3.780678	0.009362	
0.700000	3.774520	0.009022	
0.705000	3.768532	0.008693	
0.710000	3.762708	0.008374	
0.715000	3.757030	0.008065	
0.720000	3.751493	0.007765	
0.725000	3.746093	0.007474	
0.730000	3.740840	0.007192	
0.735000	3.735718	0.006920	
0.740000	3.730720	0.006655	
0.745000	3.725842	0.006399	
0.750000	3.721079	0.006150	
0.755000	3.716429	0.005909	
0.760000	3.711889	0.005676	
0.765000	3.707454	0.005450	
0.770000	3.703123	0.005232	
0.775000	3.698891	0.005020	
0.780000	3.694759	0.004815	
0.785000	3.690717	0.004617	
0.790000	3.686767	0.004425	
0.795000	3.682903	0.004239	
0.800000	3.679123	0.004060	
0.805000	3.675428	0.003886	
0.810000	3.671813	0.003718	
0.815000	3.668275	0.003556	
0.820000	3.664813	0.003399	
0.825000	3.661422	0.003247	
0.830000	3.658103	0.003101	
0.835000	3.654850	0.002959	
0.840000	3.651664	0.002822	
0.845000	3.648541	0.002690	
0.850000	3.645480	0.002562	
0.855000	3.642480	0.002439	
0.860000	3.639549	0.002321	
0.865000	3.636673	0.002206	
0.870000	3.633851	0.002096	
0.875000	3.631082	0.001990	
0.880000	3.628362	0.001887	
0.885000	3.625701	0.001789	
0.890000	3.623096	0.001694	
0.895000	3.620535	0.001603	
0.900000	3.618019	0.001515	
0.905000	3.615546	0.001430	
0.910000	3.613132	0.001350	
0.915000	3.610759	0.001272	
0.920000	3.608423	0.001197	
0.925000	3.606128	0.001125	
0.930000	3.603887	0.001057	
0.935000	3.601679	0.000991	
0.940000	3.599504	0.000928	
0.945000	3.597378	0.000868	
0.950000	3.595289	0.000811	
0.955000	3.593227	0.000756	
0.960000	3.591208	0.000704	
0.965000	3.589228	0.000654	
0.970000	3.587272	0.000607	
0.975000	3.585356	0.000562	
0.980000	3.583476	0.000520	
0.985000	3.581618	0.000479	
0.990000	3.579801	0.000441	
0.995000	3.578013	0.000405	
1.000000	3.576244	0.000370	
