wvl	n	k	
0.25	1.66361	3.6627	
0.255	1.69017	3.84864	
0.26	1.75387	4.0872	
0.265	1.87822	4.37222	
0.27	2.08515	4.69581	
0.275	2.43219	5.0511	
0.28	2.95736	5.29778	
0.285	3.5715	5.45352	
0.29	4.38112	5.30678	
0.295	4.92687	4.75828	
0.3	5.09896	4.22985	
0.305	5.12162	3.86582	
0.31	5.11768	3.62123	
0.315	5.12144	3.44664	
0.32	5.13891	3.31246	
0.325	5.16876	3.20371	
0.33	5.2088	3.11373	
0.335	5.25882	3.04094	
0.34	5.322	2.98639	
0.345	5.40558	2.95199	
0.35	5.52286	2.94162	
0.355	5.70957	2.9617	
0.36	6.05818	2.96689	
0.365	6.58739	2.72757	
0.37	6.95857	2.09906	
0.375	6.91934	1.4073	
0.38	6.65239	0.91757	
0.385	6.34315	0.61822	
0.39	6.06036	0.44438	
0.395	5.82341	0.34522	
0.4	5.63172	0.28582	
0.405	5.47646	0.24509	
0.41	5.34656	0.21258	
0.415	5.23399	0.18474	
0.42	5.13419	0.16064	
0.425	5.0443	0.13984	
0.43	4.96261	0.12202	
0.435	4.8878	0.1068	
0.44	4.81914	0.09392	
0.445	4.75583	0.08305	
0.45	4.69729	0.07392	
0.455	4.64305	0.06627	
0.46	4.59273	0.05989	
0.465	4.54595	0.05458	
0.47	4.50239	0.05017	
0.475	4.46178	0.04651	
0.48	4.42392	0.04347	
0.485	4.38849	0.04093	
0.49	4.35528	0.03878	
0.495	4.3242	0.03696	
0.5	4.29493	0.03538	
0.505	4.26747	0.034	
0.51	4.24153	0.03276	
0.515	4.21706	0.03164	
0.52	4.19392	0.03059	
0.525	4.17197	0.02961	
0.53	4.15113	0.02868	
0.535	4.13135	0.02778	
0.54	4.11249	0.02691	
0.545	4.09451	0.02607	
0.55	4.07732	0.02525	
0.555	4.0609	0.02445	
0.56	4.04518	0.02368	
0.565	4.03012	0.02292	
0.57	4.01568	0.02219	
0.575	4.0018	0.02148	
0.58	3.98847	0.02079	
0.585	3.97564	0.02011	
0.59	3.96331	0.01946	
0.595	3.95143	0.01882	
0.6	3.93997	0.0182	
0.605	3.9289	0.0176	
0.61	3.91824	0.01702	
0.615	3.90794	0.01646	
0.62	3.89796	0.01591	
0.625	3.88834	0.01537	
0.63	3.87902	0.01486	
0.635	3.87	0.01435	
0.64	3.86126	0.01386	
0.645	3.85279	0.01339	
0.65	3.84459	0.01293	
0.655	3.83663	0.01248	
0.66	3.8289	0.01205	
0.665	3.82141	0.01163	
0.67	3.81411	0.01122	
0.675	3.80705	0.01083	
0.68	3.80018	0.01045	
0.685	3.79348	0.01007	
0.69	3.787	0.00971	
0.695	3.78068	0.00936	
0.7	3.77452	0.00902	
0.705	3.76853	0.00869	
0.71	3.76271	0.00837	
0.715	3.75703	0.00807	
0.72	3.75149	0.00777	
0.725	3.74609	0.00747	
0.73	3.74084	0.00719	
0.735	3.73572	0.00692	
0.74	3.73072	0.00666	
0.745	3.72584	0.0064	
0.75	3.72108	0.00615	
0.755	3.71643	0.00591	
0.76	3.71189	0.00568	
0.765	3.70745	0.00545	
0.77	3.70312	0.00523	
0.775	3.69889	0.00502	
0.78	3.69476	0.00482	
0.785	3.69072	0.00462	
0.79	3.68677	0.00443	
0.795	3.6829	0.00424	
0.8	3.67912	0.00406	
0.805	3.67543	0.00389	
0.81	3.67181	0.00372	
0.815	3.66828	0.00356	
0.82	3.66481	0.0034	
0.825	3.66142	0.00325	
0.83	3.6581	0.0031	
0.835	3.65485	0.00296	
0.84	3.65166	0.00282	
0.845	3.64854	0.00269	
0.85	3.64548	0.00256	
0.855	3.64248	0.00244	
0.86	3.63955	0.00232	
0.865	3.63667	0.00221	
0.87	3.63385	0.0021	
0.875	3.63108	0.00199	
0.88	3.62836	0.00189	
0.885	3.6257	0.00179	
0.89	3.6231	0.00169	
0.895	3.62054	0.0016	
0.9	3.61802	0.00152	
0.905	3.61555	0.00143	
0.91	3.61313	0.00135	
0.915	3.61076	0.00127	
0.92	3.60842	0.0012	
0.925	3.60613	0.00113	
0.93	3.60389	0.00106	
0.935	3.60168	9.91E-4	
0.94	3.5995	9.28E-4	
0.945	3.59738	8.68E-4	
0.95	3.59529	8.11E-4	
0.955	3.59323	7.56E-4	
0.96	3.59121	7.04E-4	
0.965	3.58923	6.54E-4	
0.97	3.58727	6.07E-4	
0.975	3.58536	5.62E-4	
0.98	3.58348	5.2E-4	
0.985	3.58162	4.79E-4	
0.99	3.5798	4.41E-4	
0.995	3.57801	4.05E-4	
1	3.57624	3.7E-4	
