Wavelength	Psi	Delta
0.250000	37.499027	142.067261	
0.255000	37.954182	143.491226	
0.260000	38.424641	145.358765	
0.265000	38.753490	147.528564	
0.270000	38.906830	150.029648	
0.275000	38.841988	152.681931	
0.280000	38.547668	155.390427	
0.285000	38.194717	157.849991	
0.290000	37.366653	160.489655	
0.295000	36.376328	162.199478	
0.300000	35.331100	162.968155	
0.305000	34.729969	163.186249	
0.310000	34.201771	163.430130	
0.315000	33.867111	163.657013	
0.320000	33.570930	163.987915	
0.325000	33.353817	164.155975	
0.330000	33.231808	164.522537	
0.335000	33.105606	164.937836	
0.340000	33.117912	165.400192	
0.345000	33.064819	165.838516	
0.350000	33.210091	166.129349	
0.355000	33.423534	166.900833	
0.360000	33.819237	168.157394	
0.365000	34.034870	170.250946	
0.370000	33.867794	172.727890	
0.375000	33.245476	174.703430	
0.380000	32.450111	176.289948	
0.385000	31.697329	177.232437	
0.390000	30.986969	177.706787	
0.395000	30.478411	178.037125	
0.400000	29.977911	178.151855	
0.405000	29.525402	178.467255	
0.410000	29.140467	178.673630	
0.415000	28.817875	178.677979	
0.420000	28.486544	178.758194	
0.425000	28.206324	178.928253	
0.430000	27.931135	178.938141	
0.435000	27.646021	179.130295	
0.440000	27.424597	179.115265	
0.445000	27.180254	179.346725	
0.450000	26.991905	179.425232	
0.455000	26.856300	179.361847	
0.460000	26.580475	179.346725	
0.465000	26.468937	179.449600	
0.470000	26.261480	179.565155	
0.475000	26.056112	179.578323	
0.480000	25.968882	179.654984	
0.485000	25.717943	179.441742	
0.490000	25.666002	179.620758	
0.495000	25.513342	179.638474	
0.500000	25.381931	179.681061	
0.505000	25.288965	179.621338	
0.510000	25.108297	179.688202	
0.515000	25.022066	179.727081	
0.520000	24.905468	179.646484	
0.525000	24.864048	179.658127	
0.530000	24.718485	179.709137	
0.535000	24.629637	179.449585	
0.540000	24.504873	179.685669	
0.545000	24.452192	179.696533	
0.550000	24.387623	179.672867	
0.555000	24.302561	179.632492	
0.560000	24.213236	179.579742	
0.565000	24.141266	179.608627	
0.570000	24.062828	179.807648	
0.575000	24.002457	179.773911	
0.580000	23.932888	179.605347	
0.585000	23.869804	179.848099	
0.590000	23.758753	179.716904	
0.595000	23.784821	179.892151	
0.600000	23.717489	179.739716	
0.605000	23.554792	179.780533	
0.610000	23.589994	179.823700	
0.615000	23.520052	179.734573	
0.620000	23.506416	179.716278	
0.625000	23.407257	179.764969	
0.630000	23.398003	179.779144	
0.635000	23.279142	179.766861	
0.640000	23.275793	179.780548	
0.645000	23.235956	179.902756	
0.650000	23.212492	179.801361	
0.655000	23.148836	179.808426	
0.660000	23.063629	179.719803	
0.665000	23.026508	179.859146	
0.670000	23.056307	179.859741	
0.675000	22.975739	179.794067	
0.680000	22.911781	179.889954	
0.685000	22.940607	179.934372	
0.690000	22.906271	179.833496	
0.695000	22.871153	179.949173	
0.700000	22.766500	179.814255	
0.705000	22.783709	179.872910	
0.710000	22.759508	179.939087	
0.715000	22.713514	179.846634	
0.720000	22.676456	179.966599	
0.725000	22.569489	179.845337	
0.730000	22.633434	179.815887	
0.735000	22.619411	179.899338	
0.740000	22.540419	180.090988	
0.745000	22.524090	179.995804	
0.750000	22.488592	179.819305	
0.755000	22.434879	180.018005	
0.760000	22.430962	180.032349	
0.765000	22.361286	179.805511	
0.770000	22.367476	179.877945	
0.775000	22.356274	179.815872	
0.780000	22.285795	180.154861	
0.785000	22.266457	180.016281	
0.790000	22.306124	179.898849	
0.795000	22.269485	179.929916	
0.800000	22.259991	179.985794	
0.805000	22.195587	179.701843	
0.810000	22.226337	179.924362	
0.815000	22.133612	179.859818	
0.820000	22.129412	179.939529	
0.825000	22.133551	179.960251	
0.830000	22.115131	180.032089	
0.835000	22.074961	179.984756	
0.840000	22.076340	180.005859	
0.845000	22.047045	179.889023	
0.850000	22.039482	179.982407	
0.855000	22.004938	180.093567	
0.860000	22.045164	179.958786	
0.865000	21.979797	180.080612	
0.870000	21.956388	179.901993	
0.875000	21.985365	179.975693	
0.880000	21.952829	179.943771	
0.885000	21.866323	180.018555	
0.890000	21.957653	180.032684	
0.895000	21.906145	179.981552	
0.900000	21.895674	179.961456	
0.905000	21.876295	179.967026	
0.910000	21.836292	179.887451	
0.915000	21.817417	179.973282	
0.920000	21.785654	180.167847	
0.925000	21.788708	179.932709	
0.930000	21.784014	179.981216	
0.935000	21.777567	180.051895	
0.940000	21.809336	179.978973	
0.945000	21.755404	179.940659	
0.950000	21.734077	180.039093	
0.955000	21.750586	180.046112	
0.960000	21.720480	179.968597	
0.965000	21.711815	179.972412	
0.970000	21.705135	179.900177	
0.975000	21.655535	179.985260	
0.980000	21.694263	180.036819	
0.985000	21.646151	179.941025	
0.990000	21.700411	180.030838	
0.995000	21.628141	179.945282	
1.000000	21.583193	180.049759	
