um	n	k
0.250000	2.351202	1.268371	
0.255000	2.430842	1.254933	
0.260000	2.511295	1.233064	
0.265000	2.591463	1.202160	
0.270000	2.670015	1.161756	
0.275000	2.745387	1.111618	
0.280000	2.815835	1.051830	
0.285000	2.879506	0.982886	
0.290000	2.934563	0.905750	
0.295000	2.979339	0.821876	
0.300000	3.012496	0.733166	
0.305000	3.033170	0.641866	
0.310000	3.041074	0.550405	
0.315000	3.036522	0.461208	
0.320000	3.020394	0.376518	
0.325000	2.994033	0.298253	
0.330000	2.959108	0.227911	
0.335000	2.917479	0.166550	
0.340000	2.871069	0.114798	
0.345000	2.821783	0.072915	
0.350000	2.771465	0.040856	
0.355000	2.721909	0.018345	
0.360000	2.674963	0.004934	
0.365000	2.632969	0.000046	
0.370000	2.599738	0.000000	
0.375000	2.572297	0.000000	
0.380000	2.548546	0.000000	
0.385000	2.527565	0.000000	
0.390000	2.508783	0.000000	
0.395000	2.491807	0.000000	
0.400000	2.476346	0.000000	
0.405000	2.462181	0.000000	
0.410000	2.449136	0.000000	
0.415000	2.437069	0.000000	
0.420000	2.425866	0.000000	
0.425000	2.415430	0.000000	
0.430000	2.405680	0.000000	
0.435000	2.396546	0.000000	
0.440000	2.387969	0.000000	
0.445000	2.379898	0.000000	
0.450000	2.372287	0.000000	
0.455000	2.365098	0.000000	
0.460000	2.358294	0.000000	
0.465000	2.351846	0.000000	
0.470000	2.345726	0.000000	
0.475000	2.339910	0.000000	
0.480000	2.334374	0.000000	
0.485000	2.329100	0.000000	
0.490000	2.324069	0.000000	
0.495000	2.319265	0.000000	
0.500000	2.314673	0.000000	
0.505000	2.310280	0.000000	
0.510000	2.306072	0.000000	
0.515000	2.302039	0.000000	
0.520000	2.298171	0.000000	
0.525000	2.294457	0.000000	
0.530000	2.290889	0.000000	
0.535000	2.287458	0.000000	
0.540000	2.284158	0.000000	
0.545000	2.280980	0.000000	
0.550000	2.277919	0.000000	
0.555000	2.274969	0.000000	
0.560000	2.272123	0.000000	
0.565000	2.269377	0.000000	
0.570000	2.266725	0.000000	
0.575000	2.264163	0.000000	
0.580000	2.261688	0.000000	
0.585000	2.259293	0.000000	
0.590000	2.256977	0.000000	
0.595000	2.254735	0.000000	
0.600000	2.252563	0.000000	
0.605000	2.250460	0.000000	
0.610000	2.248421	0.000000	
0.615000	2.246445	0.000000	
0.620000	2.244528	0.000000	
0.625000	2.242668	0.000000	
0.630000	2.240862	0.000000	
0.635000	2.239109	0.000000	
0.640000	2.237406	0.000000	
0.645000	2.235752	0.000000	
0.650000	2.234143	0.000000	
0.655000	2.232579	0.000000	
0.660000	2.231058	0.000000	
0.665000	2.229578	0.000000	
0.670000	2.228138	0.000000	
0.675000	2.226736	0.000000	
0.680000	2.225371	0.000000	
0.685000	2.224041	0.000000	
0.690000	2.222746	0.000000	
0.695000	2.221483	0.000000	
0.700000	2.220252	0.000000	
0.705000	2.219052	0.000000	
0.710000	2.217882	0.000000	
0.715000	2.216740	0.000000	
0.720000	2.215626	0.000000	
0.725000	2.214538	0.000000	
0.730000	2.213477	0.000000	
0.735000	2.212440	0.000000	
0.740000	2.211428	0.000000	
0.745000	2.210439	0.000000	
0.750000	2.209473	0.000000	
0.755000	2.208529	0.000000	
0.760000	2.207606	0.000000	
0.765000	2.206704	0.000000	
0.770000	2.205822	0.000000	
0.775000	2.204959	0.000000	
0.780000	2.204115	0.000000	
0.785000	2.203289	0.000000	
0.790000	2.202481	0.000000	
0.795000	2.201691	0.000000	
0.800000	2.200917	0.000000	
0.805000	2.200159	0.000000	
0.810000	2.199416	0.000000	
0.815000	2.198690	0.000000	
0.820000	2.197978	0.000000	
0.825000	2.197280	0.000000	
0.830000	2.196597	0.000000	
0.835000	2.195927	0.000000	
0.840000	2.195271	0.000000	
0.845000	2.194627	0.000000	
0.850000	2.193996	0.000000	
0.855000	2.193377	0.000000	
0.860000	2.192771	0.000000	
0.865000	2.192176	0.000000	
0.870000	2.191592	0.000000	
0.875000	2.191019	0.000000	
0.880000	2.190457	0.000000	
0.885000	2.189906	0.000000	
0.890000	2.189364	0.000000	
0.895000	2.188833	0.000000	
0.900000	2.188311	0.000000	
0.905000	2.187799	0.000000	
0.910000	2.187296	0.000000	
0.915000	2.186802	0.000000	
0.920000	2.186317	0.000000	
0.925000	2.185840	0.000000	
0.930000	2.185372	0.000000	
0.935000	2.184912	0.000000	
0.940000	2.184460	0.000000	
0.945000	2.184016	0.000000	
0.950000	2.183579	0.000000	
0.955000	2.183150	0.000000	
0.960000	2.182727	0.000000	
0.965000	2.182312	0.000000	
0.970000	2.181905	0.000000	
0.975000	2.181503	0.000000	
0.980000	2.181109	0.000000	
0.985000	2.180721	0.000000	
0.990000	2.180339	0.000000	
0.995000	2.179963	0.000000	
1.000000	2.179594	0.000000	
